FID,OBJECTID,Join_Count,osm_id,BUFF_DIST,Shape_Leng
456,1094,5,99480653,25.000000000000000,0.001526783147540
457,1095,23,99480657,25.000000000000000,0.001526552651390
458,1096,3,99480659,25.000000000000000,0.001526679788750
459,1097,2,99480660,25.000000000000000,0.001526559029480
460,1098,3,99480664,25.000000000000000,0.001526583964800
461,1099,6,99480673,25.000000000000000,0.001526541246970
462,1100,3,99480675,25.000000000000000,0.001526541246970
463,1101,6,99480678,25.000000000000000,0.001526501133370
464,1102,2,99480680,25.000000000000000,0.001526525850760
465,1103,10,99480681,25.000000000000000,0.001526597322870
466,1104,1,99480684,25.000000000000000,0.001526544826610
467,1105,9,99480685,25.000000000000000,0.001526745033660
468,1106,2,99483478,25.000000000000000,0.001526422203300
469,1110,1,99483485,25.000000000000000,0.001526417448420
470,1111,6,99483489,25.000000000000000,0.001526378593720
471,1112,2,99483491,25.000000000000000,0.001526430331630
472,1113,11,99483493,25.000000000000000,0.001526459847420
473,1114,1,99483495,25.000000000000000,0.001526433241880
474,1117,1,99483501,25.000000000000000,0.001526475911690
475,1118,2,99483502,25.000000000000000,0.001526450080590
476,1119,2,99483505,25.000000000000000,0.001526420070380
477,1120,1,99483506,25.000000000000000,0.001526475436830
478,1121,2,99483508,25.000000000000000,0.001526442676830
479,1122,9,99483511,25.000000000000000,0.001526475709230
480,1123,2,99483514,25.000000000000000,0.001526443840970
481,1125,2,99483517,25.000000000000000,0.001526430331630
482,1127,3,99483520,25.000000000000000,0.001526410974110
483,1128,2,99483522,25.000000000000000,0.001526458952400
484,1129,1,99483523,25.000000000000000,0.001526445243510
485,1130,1,99483525,25.000000000000000,0.001526411287760
486,1134,1,99484072,25.000000000000000,0.001526347622370
487,1135,4,99484074,25.000000000000000,0.001526361417380
488,1136,2,99484077,25.000000000000000,0.001526391561320
489,1137,2,99484081,25.000000000000000,0.001526391561320
490,1138,3,99484082,25.000000000000000,0.001526375787910
491,1139,5,99484083,25.000000000000000,0.001526332676780
492,1140,1,99484086,25.000000000000000,0.001526357105090
493,1142,2,99486485,25.000000000000000,0.001526491618710
494,1143,1,99486488,25.000000000000000,0.001526501589120
495,1146,4,99486493,25.000000000000000,0.001526423870290
496,1147,4,99486499,25.000000000000000,0.001526494999820
497,1148,8,99486501,25.000000000000000,0.001526408467810
498,1149,8,99486503,25.000000000000000,0.001526491618710
499,1150,1,99486507,25.000000000000000,0.001526381597520
500,1151,10,99486510,25.000000000000000,0.001526465363150
501,1152,7,99486512,25.000000000000000,0.001526491618710
